customer_id,gender,age,city,signup_date
C00001,F,59,Chennai,2023-06-06
C00002,,67,,2023-09-18
C00003,male,44,Mumbai,2023-03-18
C00004,,74,Mumbai,2023-09-14
C00005,,46,Mumbai,2023-05-11
C00006,Female,42,Hyderabad,2023-03-08
C00007,male,58,Mumbai,2023-08-16
C00008,male,55,,2023-06-12
C00009,male,77,,2023-01-15
C00010,,37,Bangalore,2023-08-20
C00011,F,62,Hyderabad,2023-07-14
C00012,male,46,,2023-12-15
C00013,,71,Chennai,2023-01-30
C00014,Female,47,Hyderabad,2023-12-25
C00015,F,38,Hyderabad,2023-12-04
C00016,Female,53,,2023-11-27
C00017,F,48,Chennai,2023-11-12
C00018,,70,Bangalore,2023-10-23
C00019,Male,42,,2023-11-26
C00020,F,51,Chennai,2023-08-08
C00021,Female,21,Hyderabad,2023-05-27
C00022,,51,Chennai,2023-09-16
C00023,F,70,Hyderabad,2023-10-19
C00024,Male,79,,2023-10-26
C00025,Male,79,,2023-05-23
C00026,male,61,Mumbai,2023-08-23
C00027,male,34,Mumbai,2023-04-25
C00028,Female,33,Mumbai,2023-12-31
C00029,F,43,,2023-03-31
C00030,F,74,Bangalore,2023-07-27
C00031,male,32,,2023-06-13
C00032,F,49,Chennai,2023-03-25
C00033,F,57,,2023-03-18
C00034,Male,25,,2023-06-10
C00035,male,63,Hyderabad,2023-01-05
C00036,,52,Hyderabad,2023-03-19
C00037,male,78,Hyderabad,2023-04-01
C00038,,22,,2023-03-28
C00039,Male,48,Bangalore,2023-09-27
C00040,Female,62,Chennai,2023-04-14
C00041,F,70,Chennai,2023-12-05
C00042,Male,79,Bangalore,2023-06-24
C00043,F,45,Bangalore,2023-02-23
C00044,Female,18,Chennai,2023-07-30
C00045,Female,64,Mumbai,2023-04-05
C00046,Male,44,Hyderabad,2023-08-11
C00047,Female,73,Hyderabad,2023-01-09
C00048,,59,Chennai,2023-02-22
C00049,Female,18,Bangalore,2023-03-18
C00050,F,40,Mumbai,2023-07-25
C00051,F,41,Chennai,2023-11-12
C00052,F,60,Hyderabad,2023-10-29
C00053,F,78,,2023-11-06
C00054,,65,Bangalore,2023-11-26
C00055,male,64,,2023-04-22
C00056,Male,20,Chennai,2023-12-17
C00057,F,73,Hyderabad,2023-06-14
C00058,Female,29,Mumbai,2023-10-06
