delivery_id,order_id,delivery_partner,distance,delivery_status
D000001,O000001,,6,
D000002,O000002,Ravi,13,delivered
D000003,O000003,Kiran,9,Cancelled
D000004,O000004,Amit,-3,Delivered
D000005,O000005,,3,
D000006,O000006,Amit,2,
D000007,O000007,Ravi,4,Delivered
D000008,O000008,,2,Cancelled
D000009,O000009,Kiran,10,
D000010,O000010,,5,delivered
D000011,O000011,Kiran,17,
D000012,O000012,John,18,Delivered
D000013,O000013,Kiran,18,Cancelled
D000014,O000014,Amit,16,
D000015,O000015,Ravi,2,
D000016,O000016,,12,Cancelled
D000017,O000017,John,1,Cancelled
D000018,O000018,John,-3,delivered
D000019,O000019,John,2,
D000020,O000020,Amit,-1,delivered
D000021,O000021,Kiran,-1,delivered
D000022,O000022,John,13,Delivered
D000023,O000023,Ravi,11,
D000024,O000024,Ravi,8,Cancelled
D000025,O000025,,12,delivered
D000026,O000026,Ravi,-4,Delivered
D000027,O000027,Kiran,17,Delivered
D000028,O000028,Kiran,12,
D000029,O000029,John,1,Delivered
D000030,O000030,Kiran,11,Delivered
D000031,O000031,Kiran,12,
D000032,O000032,John,10,delivered
D000033,O000033,,17,Delivered
D000034,O000034,Kiran,1,delivered
D000035,O000035,Kiran,12,delivered
D000036,O000036,Amit,6,delivered
D000037,O000037,,10,Cancelled
D000038,O000038,John,8,
D000039,O000039,Amit,1,
D000040,O000040,Amit,19,delivered
D000041,O000041,,2,Delivered
D000042,O000042,Kiran,8,Cancelled
D000043,O000043,John,16,Cancelled
D000044,O000044,,14,
D000045,O000045,Amit,8,Cancelled
D000046,O000046,Ravi,-3,delivered
D000047,O000047,John,2,delivered
D000048,O000048,Ravi,13,
D000049,O000049,Kiran,6,
D000050,O000050,,5,Cancelled
D000051,O000051,Kiran,15,Delivered
D000052,O000052,,5,Cancelled
D000053,O000053,Amit,-3,
D000054,O000054,Kiran,3,delivered
D000055,O000055,Ravi,5,delivered
D000056,O000056,Amit,17,Delivered
D000057,O000057,,13,Delivered
D000058,O000058,Amit,4,Cancelled
D000059,O000059,Ravi,17,delivered
D000060,O000060,John,10,Cancelled
D000061,O000061,,-2,Delivered
D000062,O000062,John,-5,
D000063,O000063,Amit,-2,Cancelled
D000064,O000064,Kiran,2,Cancelled
D000065,O000065,,10,delivered
D000066,O000066,Amit,0,delivered
D000067,O000067,,-5,delivered
D000068,O000068,Ravi,10,Cancelled
D000069,O000069,Amit,-5,delivered
D000070,O000070,Kiran,14,delivered
D000071,O000071,,10,Delivered
D000072,O000072,Kiran,16,delivered
D000073,O000073,Kiran,-2,
D000074,O000074,Ravi,19,Delivered
D000075,O000075,John,-4,Cancelled
D000076,O000076,Amit,8,Cancelled
D000077,O000077,John,0,delivered
D000078,O000078,John,17,
D000079,O000079,Ravi,14,Delivered
D000080,O000080,Kiran,6,delivered
D000081,O000081,Kiran,-1,Delivered
D000082,O000082,Amit,8,delivered
D000083,O000083,Ravi,-1,Delivered
D000084,O000084,,12,Delivered
D000085,O000085,Kiran,10,Cancelled
D000086,O000086,Amit,15,Delivered
D000087,O000087,,10,
D000088,O000088,John,4,Cancelled
D000089,O000089,Ravi,5,delivered
D000090,O000090,,15,delivered
D000091,O000091,Kiran,-1,Delivered
D000092,O000092,Amit,-2,Cancelled
D000093,O000093,Amit,14,Cancelled
D000094,O000094,Ravi,1,delivered
D000095,O000095,John,0,
D000096,O000096,Kiran,9,
D000097,O000097,John,9,Cancelled
D000098,O000098,Ravi,18,Cancelled
D000099,O000099,Ravi,11,delivered
D000100,O000100,John,4,Cancelled
D000101,O000101,,12,delivered
D000102,O000102,,5,
D000103,O000103,Ravi,12,Cancelled
D000104,O000104,,-4,
D000105,O000105,,-3,
D000106,O000106,Amit,0,Delivered
D000107,O000107,John,-3,delivered
D000108,O000108,Amit,1,delivered
D000109,O000109,Amit,-3,delivered
D000110,O000110,Ravi,9,Delivered
D000111,O000111,Ravi,7,delivered
D000112,O000112,Ravi,0,Delivered
D000113,O000113,Amit,-4,Cancelled
D000114,O000114,Kiran,-4,Delivered
D000115,O000115,Amit,13,
D000116,O000116,Amit,2,delivered
D000117,O000117,Amit,3,Delivered
D000118,O000118,,-4,Delivered
D000119,O000119,,1,Delivered
D000120,O000120,Ravi,11,Delivered
D000121,O000121,Amit,9,Cancelled
D000122,O000122,Amit,-2,Cancelled
D000123,O000123,Ravi,16,Cancelled
D000124,O000124,John,17,delivered
D000125,O000125,Kiran,7,Delivered
D000126,O000126,Kiran,-3,Cancelled
D000127,O000127,John,6,delivered
D000128,O000128,Ravi,-3,
D000129,O000129,John,15,
D000130,O000130,Kiran,13,delivered
D000131,O000131,John,3,Delivered
D000132,O000132,Amit,10,Delivered
D000133,O000133,,12,
D000134,O000134,Amit,10,Delivered
D000135,O000135,Kiran,6,Delivered
D000136,O000136,,1,Delivered
D000137,O000137,,17,Delivered
D000138,O000138,John,13,Cancelled
D000139,O000139,Amit,18,Cancelled
D000140,O000140,John,6,Delivered
D000141,O000141,Kiran,5,delivered
D000142,O000142,,6,Cancelled
D000143,O000143,John,13,Delivered
D000144,O000144,,15,Cancelled
D000145,O000145,Amit,11,delivered
D000146,O000146,Kiran,9,delivered
D000147,O000147,Amit,4,Cancelled
D000148,O000148,John,-2,Delivered
D000149,O000149,John,12,Delivered
D000150,O000150,Ravi,7,
D000151,O000151,Amit,-1,Delivered
D000152,O000152,Kiran,14,delivered
D000153,O000153,,14,delivered
D000154,O000154,Ravi,-2,delivered
D000155,O000155,Kiran,10,
D000156,O000156,Amit,15,
D000157,O000157,,19,
D000158,O000158,Kiran,19,delivered
D000159,O000159,Ravi,14,Cancelled
D000160,O000160,,3,Delivered
D000161,O000161,Amit,18,Delivered
D000162,O000162,,15,Cancelled
D000163,O000163,Amit,18,Cancelled
D000164,O000164,John,1,Delivered
D000165,O000165,John,12,Delivered
D000166,O000166,Amit,4,
D000167,O000167,Kiran,9,
D000168,O000168,Ravi,18,Cancelled
D000169,O000169,John,3,Cancelled
D000170,O000170,Kiran,12,delivered
D000171,O000171,,5,Cancelled
D000172,O000172,John,6,Cancelled
D000173,O000173,Kiran,-4,delivered
D000174,O000174,Ravi,3,Delivered
D000175,O000175,,11,
D000176,O000176,John,-3,delivered
D000177,O000177,John,8,Cancelled
D000178,O000178,Ravi,-3,Cancelled
D000179,O000179,Amit,0,Delivered
D000180,O000180,John,5,
D000181,O000181,Amit,17,
D000182,O000182,Ravi,-3,
D000183,O000183,Ravi,9,
D000184,O000184,Kiran,2,Delivered
D000185,O000185,John,-4,delivered
D000186,O000186,,5,Delivered
D000187,O000187,,8,Cancelled
D000188,O000188,Ravi,-3,Delivered
D000189,O000189,,4,Cancelled
D000190,O000190,,12,Delivered
D000191,O000191,,12,
D000192,O000192,Kiran,6,
D000193,O000193,Kiran,16,delivered
D000194,O000194,Ravi,13,
D000195,O000195,,13,Delivered
D000196,O000196,Ravi,3,Cancelled
D000197,O000197,Ravi,-5,delivered
D000198,O000198,Ravi,19,delivered
D000199,O000199,Kiran,6,Delivered
D000200,O000200,Kiran,-4,Delivered
D000201,O000201,John,-4,
D000202,O000202,,-1,
D000203,O000203,Amit,16,
D000204,O000204,Kiran,18,delivered
D000205,O000205,Amit,-5,delivered
D000206,O000206,,6,Cancelled
D000207,O000207,,-1,delivered
D000208,O000208,Kiran,8,
D000209,O000209,Amit,2,delivered
D000210,O000210,Ravi,5,delivered
D000211,O000211,Ravi,12,delivered
D000212,O000212,Kiran,4,Cancelled
D000213,O000213,Amit,3,delivered
D000214,O000214,Kiran,9,Cancelled
D000215,O000215,Ravi,4,delivered
D000216,O000216,,-2,Cancelled
D000217,O000217,Kiran,5,
D000218,O000218,Ravi,17,Cancelled
D000219,O000219,,11,Delivered
D000220,O000220,Kiran,12,Cancelled
D000221,O000221,Kiran,11,Cancelled
D000222,O000222,Ravi,18,
D000223,O000223,Ravi,-5,Cancelled
D000224,O000224,,19,
D000225,O000225,John,6,
D000226,O000226,,17,
D000227,O000227,Kiran,9,Delivered
D000228,O000228,Kiran,15,Cancelled
D000229,O000229,Kiran,11,Delivered
D000230,O000230,Ravi,14,
D000231,O000231,Kiran,-3,Cancelled
D000232,O000232,Kiran,1,
D000233,O000233,,-5,Cancelled
D000234,O000234,Ravi,14,Cancelled
D000235,O000235,,5,Cancelled
D000236,O000236,John,-1,delivered
D000237,O000237,,-3,delivered
D000238,O000238,,15,delivered
D000239,O000239,John,14,Cancelled
D000240,O000240,,15,
D000241,O000241,Kiran,3,
D000242,O000242,Kiran,18,delivered
D000243,O000243,Amit,2,Delivered
D000244,O000244,Ravi,-4,Cancelled
D000245,O000245,Kiran,13,
D000246,O000246,Ravi,10,
D000247,O000247,,10,delivered
D000248,O000248,Amit,-2,Delivered
D000249,O000249,Kiran,4,Delivered
D000250,O000250,,11,Cancelled
D000251,O000251,Amit,19,
D000252,O000252,,9,Cancelled
D000253,O000253,Ravi,12,Delivered
D000254,O000254,,-4,Delivered
D000255,O000255,,2,Cancelled
D000256,O000256,,4,Delivered
D000257,O000257,Amit,19,delivered
D000258,O000258,,-5,delivered
D000259,O000259,Amit,12,Delivered
D000260,O000260,Amit,10,
D000261,O000261,John,4,Delivered
D000262,O000262,,-1,Cancelled
D000263,O000263,Kiran,3,
D000264,O000264,Amit,4,delivered
D000265,O000265,,-1,delivered
D000266,O000266,Kiran,1,delivered
D000267,O000267,Ravi,0,delivered
D000268,O000268,Kiran,8,delivered
D000269,O000269,Amit,16,
D000270,O000270,Amit,12,delivered
D000271,O000271,Amit,7,
D000272,O000272,John,4,Cancelled
D000273,O000273,Kiran,8,Delivered
D000274,O000274,,2,
D000275,O000275,,16,delivered
D000276,O000276,Amit,8,Cancelled
D000277,O000277,Kiran,-2,Cancelled
D000278,O000278,Ravi,17,Delivered
D000279,O000279,Kiran,3,Delivered
D000280,O000280,,17,
D000281,O000281,Amit,0,
D000282,O000282,Kiran,-4,Delivered
D000283,O000283,John,-3,Delivered
D000284,O000284,Amit,17,Delivered
D000285,O000285,John,5,Cancelled
D000286,O000286,Amit,11,Delivered
D000287,O000287,,-5,Cancelled
D000288,O000288,Ravi,-3,delivered
D000289,O000289,Kiran,8,delivered
D000290,O000290,Kiran,5,
D000291,O000291,Amit,15,
D000292,O000292,Ravi,10,Delivered
D000293,O000293,Ravi,8,
D000294,O000294,,13,delivered
D000295,O000295,John,3,
D000296,O000296,Kiran,17,Cancelled
D000297,O000297,Amit,-4,
D000298,O000298,Ravi,4,delivered
D000299,O000299,Kiran,-3,delivered
D000300,O000300,Kiran,9,delivered
D000301,O000301,Kiran,6,delivered
D000302,O000302,Ravi,13,Cancelled
D000303,O000303,,3,
D000304,O000304,Kiran,8,delivered
D000305,O000305,Ravi,9,
D000306,O000306,Ravi,17,Delivered
D000307,O000307,Amit,5,Cancelled
D000308,O000308,,5,Delivered
D000309,O000309,,-3,Cancelled
D000310,O000310,,5,delivered
D000311,O000311,Ravi,-5,
D000312,O000312,Ravi,-2,Cancelled
D000313,O000313,,15,Delivered
D000314,O000314,Ravi,19,Delivered
D000315,O000315,,14,
D000316,O000316,Amit,4,Cancelled
D000317,O000317,John,12,Delivered
D000318,O000318,John,-5,Delivered
D000319,O000319,John,15,Cancelled
D000320,O000320,John,-3,delivered
D000321,O000321,Amit,19,delivered
D000322,O000322,Ravi,-3,
D000323,O000323,Amit,13,delivered
D000324,O000324,Kiran,12,
D000325,O000325,Ravi,7,Delivered
D000326,O000326,,-3,Delivered
D000327,O000327,Kiran,19,delivered
D000328,O000328,Kiran,17,Cancelled
D000329,O000329,Amit,12,delivered
D000330,O000330,Kiran,13,
D000331,O000331,Amit,2,
D000332,O000332,Kiran,8,Cancelled
D000333,O000333,Amit,18,Delivered
D000334,O000334,Ravi,-5,Delivered
D000335,O000335,Kiran,-5,delivered
D000336,O000336,Amit,2,
D000337,O000337,John,6,
D000338,O000338,John,2,Cancelled
D000339,O000339,Kiran,5,Cancelled
D000340,O000340,Amit,8,delivered
D000341,O000341,Ravi,12,Cancelled
D000342,O000342,Kiran,6,Delivered
D000343,O000343,Ravi,2,Cancelled
D000344,O000344,Amit,-5,
D000345,O000345,John,15,
D000346,O000346,Amit,4,
D000347,O000347,Ravi,-1,
D000348,O000348,John,8,Delivered
D000349,O000349,Kiran,2,delivered
D000350,O000350,John,18,Cancelled
D000351,O000351,Kiran,6,delivered
D000352,O000352,Kiran,-2,delivered
D000353,O000353,John,12,Cancelled
D000354,O000354,John,9,
D000355,O000355,Ravi,0,
D000356,O000356,John,5,
D000357,O000357,,7,Cancelled
D000358,O000358,John,14,Cancelled
D000359,O000359,Ravi,-4,
D000360,O000360,,3,Delivered
D000361,O000361,,3,delivered
D000362,O000362,Amit,17,Delivered
D000363,O000363,,-4,delivered
D000364,O000364,Kiran,-3,delivered
D000365,O000365,Ravi,19,Delivered
D000366,O000366,Amit,18,delivered
D000367,O000367,John,4,Delivered
D000368,O000368,,12,
D000369,O000369,Amit,15,Cancelled
D000370,O000370,Kiran,12,delivered
D000371,O000371,Amit,-5,Delivered
D000372,O000372,Kiran,19,Cancelled
D000373,O000373,Amit,9,delivered
D000374,O000374,Amit,7,delivered
