order_id,customer_id,restaurant_id,order_date,order_time,order_amount,delivery_time,order_status
O000001,C01222,R0224,,22:00,189,110,
O000002,C02169,R0223,2024-01-01,13:00,1020,7,delivered
O000003,C01056,R0081,,12:00,632,-8,Cancelled
O000004,C00648,R0407,2024-01-01,18:00,475,48,Delivered
O000005,C00760,R0330,March 3 2024,13:00,741,105,
O000006,C02919,R0191,March 3 2024,20:00,1662,28,
O000007,C01358,R0286,,,1938,53,Delivered
O000008,C02191,R0147,2024-01-01,20:00,1109,70,Cancelled
O000009,C01770,R0282,,22:00,239,49,
O000010,C00949,R0474,,20:00,967,94,delivered
O000011,C02092,R0384,March 3 2024,22:00,1865,98,
O000012,C02080,R0011,March 3 2024,12:00,241,-6,Delivered
O000013,C01767,R0276,March 3 2024,,1027,35,Cancelled
O000014,C00028,R0374,,20:00,890,3,
O000015,C02471,R0056,,22:00,531,0,
O000016,C02539,R0173,01-02-2024,20:00,1325,11,Cancelled
O000017,C00160,R0452,01-02-2024,22:00,1313,95,Cancelled
O000018,C02893,R0303,,,1285,-6,delivered
O000019,C01231,R0204,01-02-2024,,1357,68,
O000020,C00018,R0345,,13:00,951,13,delivered
O000021,C01127,R0248,March 3 2024,22:00,1715,2,delivered
O000022,C02720,R0314,2024-01-01,18:00,1888,85,Delivered
O000023,C02280,R0266,March 3 2024,12:00,671,15,
O000024,C02472,R0022,,13:00,771,29,Cancelled
O000025,C00904,R0327,March 3 2024,12:00,27,15,delivered
O000026,C00755,R0024,,13:00,1819,19,Delivered
O000027,C01571,R0194,,20:00,5,53,Delivered
O000028,C00837,R0096,01-02-2024,22:00,1339,100,
O000029,C00894,R0469,,20:00,1306,62,Delivered
O000030,C02287,R0445,2024-01-01,12:00,1404,77,Delivered
O000031,C02197,R0263,01-02-2024,,900,113,
O000032,C02671,R0072,2024-01-01,12:00,283,117,delivered
O000033,C01432,R0243,,13:00,901,27,Delivered
O000034,C00017,R0383,March 3 2024,12:00,-84,60,delivered
O000035,C02962,R0038,,22:00,1293,25,delivered
O000036,C02274,R0405,,12:00,1771,111,delivered
O000037,C00652,R0392,March 3 2024,20:00,989,0,Cancelled
O000038,C01680,R0377,March 3 2024,,785,117,
O000039,C00260,R0089,2024-01-01,22:00,1036,16,
O000040,C01753,R0028,01-02-2024,12:00,1339,63,delivered
O000041,C02722,R0092,01-02-2024,18:00,-30,70,Delivered
O000042,C01628,R0054,01-02-2024,18:00,1848,96,Cancelled
O000043,C02048,R0159,2024-01-01,,343,54,Cancelled
O000044,C02222,R0372,2024-01-01,20:00,1293,116,
O000045,C01867,R0228,March 3 2024,13:00,620,23,Cancelled
O000046,C00205,R0473,01-02-2024,13:00,130,53,delivered
O000047,C02463,R0372,,,763,6,delivered
O000048,C01177,R0376,2024-01-01,12:00,462,94,
O000049,C00792,R0041,,22:00,668,78,
O000050,C01141,R0037,01-02-2024,,189,97,Cancelled
O000051,C01106,R0125,01-02-2024,13:00,1141,57,Delivered
O000052,C02566,R0422,2024-01-01,18:00,294,31,Cancelled
O000053,C01858,R0179,2024-01-01,13:00,275,1,
O000054,C01091,R0332,March 3 2024,18:00,1550,57,delivered
O000055,C01608,R0037,,13:00,681,30,delivered
O000056,C01840,R0101,March 3 2024,20:00,1874,-7,Delivered
O000057,C00979,R0031,March 3 2024,,305,115,Delivered
O000058,C02638,R0190,,22:00,1968,66,Cancelled
O000059,C00067,R0146,01-02-2024,,1331,63,delivered
O000060,C00684,R0090,,12:00,1966,-2,Cancelled
O000061,C01279,R0006,01-02-2024,18:00,1459,-10,Delivered
O000062,C00063,R0393,March 3 2024,13:00,200,97,
O000063,C00814,R0139,01-02-2024,12:00,1799,82,Cancelled
O000064,C00403,R0095,01-02-2024,18:00,312,61,Cancelled
O000065,C02240,R0119,01-02-2024,,1934,6,delivered
O000066,C02003,R0366,,18:00,1715,78,delivered
O000067,C01353,R0120,01-02-2024,20:00,1971,9,delivered
O000068,C00071,R0386,,13:00,1959,48,Cancelled
O000069,C02926,R0123,2024-01-01,,1278,110,delivered
O000070,C02789,R0285,2024-01-01,12:00,993,66,delivered
O000071,C02994,R0366,March 3 2024,13:00,1127,39,Delivered
O000072,C01087,R0377,March 3 2024,,490,83,delivered
O000073,C00245,R0179,,13:00,610,44,
O000074,C02567,R0490,01-02-2024,22:00,696,40,Delivered
O000075,C00393,R0325,01-02-2024,18:00,1511,65,Cancelled
O000076,C00772,R0407,2024-01-01,18:00,630,119,Cancelled
O000077,C01670,R0484,,22:00,1759,3,delivered
O000078,C01618,R0007,01-02-2024,22:00,1996,95,
O000079,C01557,R0384,01-02-2024,13:00,509,66,Delivered
O000080,C02959,R0312,,18:00,1367,118,delivered
O000081,C01152,R0127,March 3 2024,12:00,1458,108,Delivered
O000082,C01219,R0077,,20:00,1061,100,delivered
O000083,C01218,R0234,,,129,-10,Delivered
O000084,C02232,R0318,01-02-2024,22:00,1328,100,Delivered
O000085,C00247,R0074,2024-01-01,12:00,256,15,Cancelled
O000086,C02043,R0484,01-02-2024,12:00,440,105,Delivered
O000087,C02372,R0464,01-02-2024,13:00,835,2,
O000088,C02208,R0271,01-02-2024,22:00,1534,23,Cancelled
O000089,C00706,R0309,,12:00,426,51,delivered
O000090,C02670,R0427,,20:00,1028,62,delivered
O000091,C02973,R0467,01-02-2024,12:00,522,40,Delivered
O000092,C02114,R0469,01-02-2024,20:00,323,30,Cancelled
O000093,C02978,R0120,2024-01-01,20:00,1798,44,Cancelled
O000094,C00254,R0035,March 3 2024,20:00,1778,83,delivered
O000095,C00283,R0207,01-02-2024,22:00,-97,-9,
O000096,C02166,R0496,,20:00,368,-9,
O000097,C00423,R0270,March 3 2024,22:00,563,43,Cancelled
O000098,C02604,R0093,March 3 2024,12:00,437,83,Cancelled
O000099,C02022,R0453,2024-01-01,20:00,1797,47,delivered
O000100,C00036,R0378,March 3 2024,18:00,996,50,Cancelled
O000101,C00531,R0177,01-02-2024,12:00,1885,93,delivered
O000102,C00091,R0274,01-02-2024,,1790,7,
O000103,C01941,R0179,,18:00,1257,14,Cancelled
O000104,C01943,R0129,01-02-2024,18:00,1419,89,
O000105,C01241,R0125,01-02-2024,13:00,-22,37,
O000106,C01759,R0027,2024-01-01,22:00,1474,42,Delivered
O000107,C00098,R0064,March 3 2024,13:00,1967,16,delivered
O000108,C01480,R0060,2024-01-01,22:00,1505,48,delivered
O000109,C00531,R0219,March 3 2024,13:00,55,46,delivered
O000110,C01833,R0217,2024-01-01,12:00,779,99,Delivered
O000111,C02586,R0169,,18:00,1373,95,delivered
O000112,C01052,R0149,2024-01-01,12:00,-73,13,Delivered
O000113,C01348,R0270,2024-01-01,22:00,1810,68,Cancelled
O000114,C00080,R0116,,18:00,509,73,Delivered
O000115,C02611,R0245,01-02-2024,18:00,873,-9,
O000116,C01482,R0148,01-02-2024,22:00,1252,37,delivered
O000117,C00614,R0092,,12:00,318,87,Delivered
O000118,C02224,R0085,,18:00,-79,35,Delivered
O000119,C02570,R0087,2024-01-01,,160,84,Delivered
O000120,C01773,R0395,,12:00,1336,86,Delivered
O000121,C01481,R0120,,12:00,95,102,Cancelled
O000122,C00423,R0450,March 3 2024,12:00,968,10,Cancelled
O000123,C01124,R0340,March 3 2024,18:00,804,76,Cancelled
O000124,C02035,R0024,01-02-2024,20:00,224,31,delivered
O000125,C02624,R0375,,13:00,467,2,Delivered
O000126,C01404,R0089,2024-01-01,22:00,1802,34,Cancelled
O000127,C02579,R0037,01-02-2024,12:00,678,79,delivered
O000128,C00332,R0342,01-02-2024,18:00,825,14,
O000129,C00653,R0383,01-02-2024,22:00,1515,93,
O000130,C00740,R0408,,20:00,1749,60,delivered
O000131,C01113,R0271,,,1843,108,Delivered
O000132,C01628,R0012,2024-01-01,20:00,-59,73,Delivered
O000133,C00511,R0494,2024-01-01,18:00,1383,81,
O000134,C00042,R0095,01-02-2024,12:00,473,102,Delivered
O000135,C00885,R0491,,20:00,1720,58,Delivered
O000136,C01950,R0448,2024-01-01,20:00,1373,41,Delivered
O000137,C02129,R0031,March 3 2024,20:00,340,22,Delivered
O000138,C00402,R0437,March 3 2024,,1112,42,Cancelled
O000139,C02155,R0350,01-02-2024,18:00,3,27,Cancelled
O000140,C01135,R0233,March 3 2024,22:00,468,-6,Delivered
O000141,C01238,R0340,01-02-2024,13:00,356,107,delivered
O000142,C01767,R0328,,18:00,210,20,Cancelled
O000143,C01842,R0300,01-02-2024,12:00,1807,21,Delivered
