payment_id,order_id,payment_method,payment_status
P000001,O000001,Credit Card,
P000002,O000002,UPI,Completed
P000003,O000003,Debit Card,Failed
P000004,O000004,,completed
P000005,O000005,Credit Card,
P000006,O000006,,
P000007,O000007,Debit Card,Failed
P000008,O000008,,
P000009,O000009,Credit Card,completed
P000010,O000010,Debit Card,
P000011,O000011,Credit Card,
P000012,O000012,Credit Card,Completed
P000013,O000013,,Completed
P000014,O000014,Debit Card,completed
P000015,O000015,,Completed
P000016,O000016,Debit Card,
P000017,O000017,UPI,completed
P000018,O000018,UPI,completed
P000019,O000019,Debit Card,Failed
P000020,O000020,,Completed
P000021,O000021,Cash,Failed
P000022,O000022,Debit Card,Failed
P000023,O000023,Credit Card,Completed
P000024,O000024,UPI,Failed
P000025,O000025,Debit Card,
P000026,O000026,Debit Card,Completed
P000027,O000027,Debit Card,Completed
P000028,O000028,Credit Card,Failed
P000029,O000029,,Completed
P000030,O000030,Cash,Completed
P000031,O000031,Credit Card,Completed
P000032,O000032,Cash,
P000033,O000033,UPI,Completed
P000034,O000034,Cash,Failed
P000035,O000035,Cash,completed
P000036,O000036,UPI,Failed
P000037,O000037,Credit Card,
P000038,O000038,Credit Card,completed
P000039,O000039,UPI,completed
P000040,O000040,Credit Card,completed
P000041,O000041,,
P000042,O000042,Cash,Completed
P000043,O000043,Credit Card,completed
P000044,O000044,Cash,
P000045,O000045,Credit Card,Completed
P000046,O000046,Cash,
P000047,O000047,UPI,
P000048,O000048,UPI,
P000049,O000049,UPI,Completed
P000050,O000050,,Completed
P000051,O000051,,Failed
P000052,O000052,UPI,completed
P000053,O000053,Cash,Failed
P000054,O000054,UPI,
P000055,O000055,UPI,Completed
P000056,O000056,Debit Card,Failed
P000057,O000057,,Completed
P000058,O000058,,Failed
P000059,O000059,UPI,Completed
P000060,O000060,UPI,Completed
P000061,O000061,Debit Card,Failed
P000062,O000062,Debit Card,Completed
P000063,O000063,,
P000064,O000064,,completed
P000065,O000065,,Failed
P000066,O000066,,
P000067,O000067,Cash,Failed
P000068,O000068,UPI,Completed
P000069,O000069,Cash,Failed
P000070,O000070,Credit Card,completed
P000071,O000071,,Failed
P000072,O000072,,
P000073,O000073,UPI,
P000074,O000074,,completed
P000075,O000075,,Failed
P000076,O000076,Cash,completed
P000077,O000077,Credit Card,Failed
P000078,O000078,Cash,completed
P000079,O000079,Debit Card,Completed
P000080,O000080,,Failed
P000081,O000081,Cash,Failed
P000082,O000082,UPI,completed
P000083,O000083,Credit Card,
P000084,O000084,Credit Card,Failed
P000085,O000085,UPI,completed
P000086,O000086,UPI,
P000087,O000087,,Completed
P000088,O000088,Credit Card,
P000089,O000089,UPI,
P000090,O000090,Debit Card,
P000091,O000091,Credit Card,
P000092,O000092,UPI,completed
P000093,O000093,Cash,Failed
P000094,O000094,UPI,Completed
P000095,O000095,Credit Card,
P000096,O000096,,completed
P000097,O000097,Debit Card,
P000098,O000098,UPI,completed
P000099,O000099,Credit Card,Completed
P000100,O000100,UPI,
P000101,O000101,UPI,Failed
P000102,O000102,Credit Card,Failed
P000103,O000103,Cash,
P000104,O000104,Credit Card,
P000105,O000105,Credit Card,Failed
P000106,O000106,,Completed
P000107,O000107,UPI,
P000108,O000108,UPI,
P000109,O000109,Credit Card,completed
P000110,O000110,Cash,
P000111,O000111,,
P000112,O000112,Cash,Completed
P000113,O000113,Cash,completed
P000114,O000114,,Completed
P000115,O000115,,
P000116,O000116,Cash,
P000117,O000117,Cash,completed
P000118,O000118,Cash,completed
P000119,O000119,UPI,Completed
P000120,O000120,UPI,
P000121,O000121,UPI,
P000122,O000122,UPI,Completed
P000123,O000123,,Completed
P000124,O000124,Credit Card,completed
P000125,O000125,UPI,
P000126,O000126,Cash,
P000127,O000127,Credit Card,Completed
P000128,O000128,UPI,
P000129,O000129,Debit Card,
P000130,O000130,Debit Card,completed
P000131,O000131,,
P000132,O000132,Debit Card,completed
P000133,O000133,,
P000134,O000134,,
P000135,O000135,,
P000136,O000136,Credit Card,Completed
P000137,O000137,Credit Card,
P000138,O000138,Debit Card,
P000139,O000139,Credit Card,Failed
P000140,O000140,UPI,Failed
P000141,O000141,,completed
P000142,O000142,UPI,
P000143,O000143,Credit Card,completed
P000144,O000144,Cash,Failed
P000145,O000145,Credit Card,completed
P000146,O000146,,
P000147,O000147,Cash,Failed
P000148,O000148,Cash,
P000149,O000149,,completed
P000150,O000150,Debit Card,completed
P000151,O000151,Credit Card,Completed
P000152,O000152,Credit Card,Failed
P000153,O000153,Cash,completed
P000154,O000154,Cash,Failed
P000155,O000155,,Completed
P000156,O000156,,Failed
P000157,O000157,Debit Card,completed
P000158,O000158,Cash,Failed
P000159,O000159,Credit Card,Completed
P000160,O000160,,Failed
P000161,O000161,UPI,Failed
P000162,O000162,Credit Card,Failed
P000163,O000163,Cash,Failed
P000164,O000164,,completed
P000165,O000165,,
P000166,O000166,UPI,Failed
P000167,O000167,Debit Card,Completed
P000168,O000168,Credit Card,Failed
P000169,O000169,,Completed
