restaurant_id,restaurant_name,location,cuisine,rating,avg_cost
R0001,Restaurant_1,Chennai,indian,3.0,461
R0002,Restaurant_2,Hyderabad,Indian,3.1,199
R0003,Restaurant_3,Hyderabad,Chinese,4.6,548
R0004,Restaurant_4,Chennai,Italian,5.3,765
R0005,Restaurant_5,Mumbai,Chinese,3.7,702
R0006,Restaurant_6,Mumbai,Italian,3.0,549
R0007,Restaurant_7,Chennai,Indian,3.4,432
R0008,Restaurant_8,Hyderabad,Indian,3.9,785
R0009,Restaurant_9,Chennai,Italian,3.4,121
R0010,Restaurant_10,Hyderabad,indian,3.2,-34
R0011,Restaurant_11,Chennai,Indian,4.7,684
R0012,Restaurant_12,Mumbai,Indian,2.5,243
R0013,Restaurant_13,Bangalore,Fast Food,4.1,343
R0014,Restaurant_14,Hyderabad,Indian,4.9,771
R0015,Restaurant_15,Bangalore,Fast Food,3.3,447
R0016,Restaurant_16,Mumbai,Indian,4.3,168
R0017,Restaurant_17,Chennai,Indian,4.5,183
R0018,Restaurant_18,Mumbai,indian,4.5,339
R0019,Restaurant_19,Bangalore,indian,3.8,197
R0020,Restaurant_20,Mumbai,Indian,3.5,1
R0021,Restaurant_21,Mumbai,Italian,5.0,-36
R0022,Restaurant_22,Chennai,Italian,4.8,273
R0023,Restaurant_23,Bangalore,Indian,3.5,390
R0024,Restaurant_24,Bangalore,Italian,2.8,61
R0025,Restaurant_25,Bangalore,Indian,2.7,645
R0026,Restaurant_26,Hyderabad,indian,2.8,-44
R0027,Restaurant_27,Mumbai,Chinese,4.2,512
R0028,Restaurant_28,Bangalore,Fast Food,2.7,775
R0029,Restaurant_29,Mumbai,Italian,3.5,702
R0030,Restaurant_30,Chennai,Italian,4.8,194
R0031,Restaurant_31,Chennai,indian,3.4,397
R0032,Restaurant_32,Hyderabad,Italian,4.8,314
R0033,Restaurant_33,Hyderabad,Indian,4.7,316
R0034,Restaurant_34,Chennai,Indian,3.2,647
R0035,Restaurant_35,Bangalore,Chinese,4.7,236
R0036,Restaurant_36,Chennai,Chinese,4.7,553
R0037,Restaurant_37,Mumbai,Chinese,3.7,55
R0038,Restaurant_38,Hyderabad,Indian,3.1,-38
R0039,Restaurant_39,Hyderabad,Chinese,4.1,95
R0040,Restaurant_40,Chennai,Chinese,5.3,427
R0041,Restaurant_41,Bangalore,Indian,4.4,580
R0042,Restaurant_42,Bangalore,indian,3.0,664
R0043,Restaurant_43,Mumbai,Italian,4.5,602
R0044,Restaurant_44,Hyderabad,Fast Food,3.8,64
R0045,Restaurant_45,Chennai,Indian,4.3,458
R0046,Restaurant_46,Chennai,Indian,4.7,101
R0047,Restaurant_47,Hyderabad,Fast Food,4.0,6
R0048,Restaurant_48,Chennai,Fast Food,4.9,331
R0049,Restaurant_49,Hyderabad,Chinese,4.7,106
R0050,Restaurant_50,Bangalore,Fast Food,4.3,771
R0051,Restaurant_51,Bangalore,Italian,3.0,82
R0052,Restaurant_52,Chennai,Italian,5.0,112
R0053,Restaurant_53,Bangalore,Italian,5.3,224
R0054,Restaurant_54,Bangalore,Italian,2.9,644
R0055,Restaurant_55,Mumbai,Italian,4.0,26
R0056,Restaurant_56,Hyderabad,Chinese,3.3,786
R0057,Restaurant_57,Hyderabad,Indian,4.8,-7
R0058,Restaurant_58,Chennai,Fast Food,4.7,667
R0059,Restaurant_59,Hyderabad,Indian,2.9,499
R0060,Restaurant_60,Mumbai,Fast Food,5.1,267
R0061,Restaurant_61,Chennai,Chinese,3.0,483
R0062,Restaurant_62,Chennai,Chinese,4.9,534
R0063,Restaurant_63,Hyderabad,indian,3.9,702
R0064,Restaurant_64,Bangalore,indian,3.5,103
R0065,Restaurant_65,Bangalore,Chinese,3.0,186
R0066,Restaurant_66,Bangalore,Chinese,3.0,466
R0067,Restaurant_67,Bangalore,Fast Food,4.5,170
R0068,Restaurant_68,Mumbai,Chinese,4.2,259
R0069,Restaurant_69,Chennai,Indian,2.9,547
R0070,Restaurant_70,Bangalore,Fast Food,2.8,126
R0071,Restaurant_71,Mumbai,Chinese,2.7,720
R0072,Restaurant_72,Chennai,Fast Food,4.7,169
R0073,Restaurant_73,Hyderabad,Fast Food,4.6,-13
R0074,Restaurant_74,Hyderabad,Italian,2.7,603
R0075,Restaurant_75,Mumbai,indian,4.2,380
R0076,Restaurant_76,Chennai,Fast Food,2.8,696
R0077,Restaurant_77,Bangalore,Fast Food,5.2,152
R0078,Restaurant_78,Chennai,Italian,5.2,790
R0079,Restaurant_79,Bangalore,Chinese,4.6,755
R0080,Restaurant_80,Mumbai,Fast Food,5.3,397
R0081,Restaurant_81,Bangalore,Italian,4.9,444
R0082,Restaurant_82,Mumbai,Indian,5.0,633
